"date","close","volume","open","high","low"
"2013/06/24","1573.0900","0.0000","1588.7700","1588.7700","1560.3300"
"2013/06/21","1592.4300","0.0000","1588.6200","1599.1900","1577.7000"
"2013/06/20","1588.1900","0.0000","1624.6200","1624.6200","1584.3200"
"2013/06/19","1628.9300","0.0000","1651.8300","1652.4500","1628.9100"
"2013/06/18","1651.8100","0.0000","1639.7700","1654.1900","1639.7700"
"2013/06/17","1639.0400","0.0000","1630.6400","1646.5000","1630.3400"
"2013/06/14","1626.7300","0.0000","1635.5200","1640.8000","1623.9600"
"2013/06/13","1636.3600","0.0000","1612.1500","1639.2500","1608.0700"
"2013/06/12","1612.5200","0.0000","1629.9400","1637.7100","1610.9200"
"2013/06/11","1626.1300","0.0000","1638.6400","1640.1300","1622.9200"
"2013/06/10","1642.8100","0.0000","1644.6700","1648.6900","1639.2600"
"2013/06/07","1643.3800","0.0000","1625.2700","1644.4000","1625.2700"
"2013/06/06","1622.5600","0.0000","1609.2900","1622.5600","1598.2300"
"2013/06/05","1608.9000","0.0000","1629.0500","1629.3100","1607.0900"
"2013/06/04","1631.3800","0.0000","1640.7300","1646.5300","1623.6200"
"2013/06/03","1640.4200","0.0000","1631.7100","1640.4200","1622.7200"
"2013/05/31","1630.7400","0.0000","1652.1300","1658.9900","1630.7400"
"2013/05/30","1654.4100","0.0000","1649.1400","1661.9100","1648.6100"
"2013/05/29","1648.3600","0.0000","1656.5700","1656.5700","1640.0500"
"2013/05/28","1660.0600","0.0000","1652.6300","1674.2100","1652.6300"
"2013/05/24","1649.6000","0.0000","1646.6700","1649.7800","1636.8800"
"2013/05/23","1650.5100","0.0000","1651.6200","1655.5000","1635.5300"
"2013/05/22","1655.3500","0.0000","1669.3900","1687.1800","1648.8600"
"2013/05/21","1669.1600","0.0000","1666.2000","1674.9300","1662.6700"
"2013/05/20","1666.2900","0.0000","1665.7100","1672.8400","1663.5200"
"2013/05/17","1667.4700","0.0000","1652.4500","1667.4700","1652.4500"
"2013/05/16","1650.4700","0.0000","1658.0700","1660.5100","1648.6000"
"2013/05/15","1658.7800","0.0000","1649.1300","1661.4900","1646.6800"
"2013/05/14","1650.3400","0.0000","1633.7500","1651.1000","1633.7500"
"2013/05/13","1633.7700","0.0000","1632.1000","1636.0000","1626.7400"
"2013/05/10","1633.7000","0.0000","1626.6900","1633.7000","1623.7100"
